id,name,category,default_duration_min,energy_cost,has_steps,has_gating_rules,has_failure_modes,has_stop_criteria,has_outputs_or_artifacts,has_facilitation_prompt,outputs_summary,file_path
M-PRE-004,AI Skeleton Review,prepare,5,low,Y,MISSING,Y,Y,Y,MISSING,Topic skeleton (hierarchical outline); Priority sections identified (top 3); Unfamiliar term list,sop\library\methods\M-PRE-004.yaml
M-PRE-005,Concept Cluster,prepare,5,medium,Y,MISSING,Y,Y,Y,MISSING,Cluster diagram (3-5 labeled groups); Inter-cluster relationships mapped; Visual organization of topic,sop\library\methods\M-PRE-005.yaml
M-PRE-006,Three-Layer Chunk,prepare,5,medium,Y,MISSING,Y,Y,Y,MISSING,Three-layer breakdown document; Study priority assignment; Layered mental model,sop\library\methods\M-PRE-006.yaml
M-PRE-007,Pre-Test,prepare,5,low,Y,MISSING,Y,Y,Y,MISSING,Pre-test answers (with confidence ratings); Encoding priming for correct answers; Calibration baseline,sop\library\methods\M-PRE-007.yaml
M-REF-001,Error Autopsy,refine,5,medium,Y,MISSING,Y,Y,Y,MISSING,Completed error autopsy table; Root cause analysis for each error; Discrimination cues created; Anki card candidates ...,sop\library\methods\M-REF-001.yaml
M-REF-002,Mastery Loop,refine,10,medium,Y,MISSING,Y,Y,Y,MISSING,Mastery achieved on all targeted items; Loop count per item (difficulty metric); Weak anchor list (items needing 3+ l...,sop\library\methods\M-REF-002.yaml
M-RET-001,Free Recall Blurt,retrieve,5,medium,Y,MISSING,Y,Y,Y,MISSING,Free recall dump (raw text with gaps marked); Accuracy assessment (what was correct vs. incorrect); Gap list (what wa...,sop\library\methods\M-RET-001.yaml
M-RET-002,Sprint Quiz,retrieve,5,medium,Y,MISSING,Y,Y,Y,MISSING,RSR percentage (correct/total); List of missed questions; Weak anchor flags (uncertain but correct); Topics needing r...,sop\library\methods\M-RET-002.yaml
M-RET-003,Fill-in-Blank,retrieve,5,low,Y,MISSING,Y,Y,Y,MISSING,Completed cloze exercise; Accuracy count (correct/total blanks); Miss list for targeted review; Second-pass improveme...,sop\library\methods\M-RET-003.yaml
M-RET-004,Mixed Practice,retrieve,10,high,Y,MISSING,Y,Y,Y,MISSING,Overall accuracy across all topics; Per-topic accuracy breakdown; Confusion matrix (which topics got mixed up); Discr...,sop\library\methods\M-RET-004.yaml
M-RET-005,Variable Retrieval,retrieve,10,medium,Y,MISSING,Y,Y,Y,MISSING,"Three retrieval outputs (free recall, application, compare/contrast); Accuracy assessment for each format; Difficulty...",sop\library\methods\M-RET-005.yaml
