id,family_code,family_label,variant_code,variant_label,id_plain_english,name,status,is_template,block_count,allowed_modes,requires_reference_targets,energy,time_available,stage_sequence,block_ids,block_names,description,gates,failure_actions,certification_disposition,control_plane_valid,control_plane_violations,source_file
C-LE-001,LE,Low Energy,001,,Chain / Low Energy,Low Energy,draft,True,7,classification | mechanism | computation | definition | procedure | spatial | recognition | synthesis,True,low,15,PRIME -> CALIBRATE -> PRIME -> REFERENCE -> REFERENCE -> RETRIEVE -> OVERLEARN,M-PRE-010 | M-PRE-001 | M-PRE-004 | M-REF-003 | M-REF-004 | M-RET-003 | M-OVR-001,Learning Objectives Primer | Brain Dump | Hierarchical Advance Organizer | One-Page Anchor | Question Bank Seed | Fill-in-Blank | Exit Ticket,"Low-effort chain for tired days. Short PRIME orientation, quick calibrate pulse, then reference, retrieve, and overlearn. Maintain streak without burning out.",prime_artifacts_present | calibrate_attempt_completed | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-LE-001.yaml
C-MR-001,MR,Mastery Review,001,,Chain / Mastery Review,Mastery Review,draft,True,6,classification | mechanism | computation | definition | procedure | spatial | recognition | synthesis,True,medium,30,REFERENCE -> REFERENCE -> RETRIEVE -> REFERENCE -> REFERENCE -> OVERLEARN,M-REF-003 | M-REF-004 | M-RET-001 | M-REF-001 | M-REF-002 | M-OVR-002,One-Page Anchor | Question Bank Seed | Timed Brain Dump | Error Autopsy | Mastery Loop | Anki Card Draft,Deep consolidation with successive relearning. Retrieve → Refine → Overlearn.,prime_artifacts_present | calibrate_attempt_completed | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-MR-001.yaml
C-PI-001,PI,Pathophysiology Intake,001,,Chain / Pathophysiology Intake,Pathophysiology Intake,draft,True,8,classification | mechanism | computation | definition | procedure | spatial | recognition | synthesis,True,high,45,PRIME -> CALIBRATE -> ENCODE -> PRIME -> REFERENCE -> REFERENCE -> RETRIEVE -> REFERENCE,M-PRE-010 | M-PRE-007 | M-ENC-007 | M-PRE-005 | M-REF-003 | M-REF-004 | M-RET-001 | M-REF-001,Learning Objectives Primer | Pre-Test | Self-Explanation Protocol | Skeleton Concept Hierarchy | One-Page Anchor | Question Bank Seed | Timed Brain Dump | Error Autopsy,"Pathology first exposure with a short PRIME orientation before pre-test, self-explanation, concept clustering, retrieval, and refinement.",prime_artifacts_present | calibrate_attempt_completed | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-PI-001.yaml
C-QD-001,QD,Quick Drill,001,,Chain / Quick Drill,Quick Drill,draft,True,6,classification | mechanism | computation | definition | procedure | spatial | recognition | synthesis,True,medium,15,PRIME -> CALIBRATE -> REFERENCE -> REFERENCE -> RETRIEVE -> OVERLEARN,M-PRE-010 | M-PRE-001 | M-REF-003 | M-REF-004 | M-RET-002 | M-OVR-001,Learning Objectives Primer | Brain Dump | One-Page Anchor | Question Bank Seed | Sprint Quiz | Exit Ticket,"Minimal time investment. Short PRIME orientation, quick calibrate pulse, then reference, retrieve, and overlearn. Good for spacing reviews.",prime_artifacts_present | calibrate_attempt_completed | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-QD-001.yaml
C-QF-001,QF,Quick First Exposure,001,,Chain / Quick First Exposure,Quick First Exposure,draft,True,7,classification | mechanism | computation | definition | procedure | spatial | recognition | synthesis,True,medium,20,PRIME -> CALIBRATE -> PRIME -> REFERENCE -> REFERENCE -> RETRIEVE -> OVERLEARN,M-PRE-010 | M-PRE-007 | M-PRE-004 | M-REF-003 | M-REF-004 | M-RET-001 | M-OVR-001,Learning Objectives Primer | Pre-Test | Hierarchical Advance Organizer | One-Page Anchor | Question Bank Seed | Timed Brain Dump | Exit Ticket,"Minimal intake chain when time is limited. Short PRIME orientation before pre-test, hierarchy setup, retrieval, and overlearn.",prime_artifacts_present | calibrate_attempt_completed | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-QF-001.yaml
C-RS-001,RS,Review Sprint,001,,Chain / Review Sprint,Review Sprint,draft,True,6,classification | mechanism | computation | definition | procedure | spatial | recognition | synthesis,True,medium,25,PRIME -> REFERENCE -> REFERENCE -> RETRIEVE -> ENCODE -> OVERLEARN,M-PRE-002 | M-REF-003 | M-REF-004 | M-RET-002 | M-INT-002 | M-OVR-001,Overarching Pre-Question Set | One-Page Anchor | Question Bank Seed | Sprint Quiz | Clinical Application | Exit Ticket,Fast review loop. Prepare → Retrieve → Interrogate (application) → Overlearn. Skips encode for known material.,prime_artifacts_present | calibrate_attempt_completed | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-RS-001.yaml
C-SW-001,SW,SWEEP,001,,Chain / SWEEP,SWEEP,draft,True,7,synthesis,True,medium,30,PRIME -> ENCODE -> ENCODE -> REFERENCE -> REFERENCE -> RETRIEVE -> OVERLEARN,M-PRE-005 | M-ENC-009 | M-ENC-010 | M-REF-003 | M-REF-004 | M-RET-002 | M-OVR-002,Skeleton Concept Hierarchy | Concept Map | Comparison Table | One-Page Anchor | Question Bank Seed | Sprint Quiz | Anki Card Draft,"Pass 1: Fast structural understanding. Touch everything once. Produce visual maps, objectives, confusables, seed cards.",prime_artifacts_present | calibrate_attempt_completed | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-SW-001.yaml
C-TRY-001,TRY,Top-Down,001,Narrative Mastery,Chain / Top-Down / Narrative Mastery,Top-Down Narrative Mastery,draft,True,12,classification | mechanism | definition | procedure | spatial,True,medium,45,PRIME -> CALIBRATE -> TEACH -> TEACH -> REFERENCE -> CALIBRATE -> CALIBRATE -> ENCODE -> ENCODE -> ENCODE -> RETRIEVE -> OVERLEARN,M-PRE-004 | M-CAL-001 | M-TEA-001 | M-INT-001 | M-REF-003 | M-CAL-002 | M-CAL-003 | M-ENC-015 | M-ENC-001 | M-ENC-009 | M-RET-001 | M-OVR-004,Hierarchical Advance Organizer | Micro Precheck | Story Spine | Analogy Bridge | One-Page Anchor | Full Calibrate Probes | Full Calibrate Priority Set | Hand-Draw Map | KWIK Hook | Concept Map | Timed Brain Dump | Post-Learn Brain Dump,"Top-down first-exposure chain with explicit opening order: MICRO-CALIBRATE -> TEACH -> FULL CALIBRATE. TEACH builds a story + analogy bridge, closes with a compact anchor artifact, then full calibrate determines ENCODE depth. Teach-back is not a default live gate.",prime_artifacts_present | micro_calibrate_before_teach | teach_chunk_delivered_when_present | teach_close_artifact_ready | full_calibrate_after_teach | mnemonic_after_teach_close_artifact_only | retrieve_after_reference_only,if_micro_calibrate_unstable_reduce_teach_chunk_size | if_full_calibrate_poor_route_to_targeted_encode | substitute_by_error_type_mapping,strict-certification,True,,sop/library/chains/C-TRY-001.yaml
C-TRY-002,TRY,Top-Down,002,Forward Progress,Chain / Top-Down / Forward Progress,Top-Down Forward Progress,draft,True,12,classification | mechanism | definition | procedure | spatial | recognition,True,medium,50,PRIME -> CALIBRATE -> TEACH -> TEACH -> REFERENCE -> CALIBRATE -> CALIBRATE -> ENCODE -> ENCODE -> ENCODE -> RETRIEVE -> OVERLEARN,M-PRE-004 | M-CAL-001 | M-ENC-008 | M-INT-001 | M-REF-003 | M-CAL-002 | M-CAL-003 | M-ENC-015 | M-ENC-001 | M-ENC-009 | M-RET-001 | M-OVR-004,Hierarchical Advance Organizer | Micro Precheck | Mechanism Trace | Analogy Bridge | One-Page Anchor | Full Calibrate Probes | Full Calibrate Priority Set | Hand-Draw Map | KWIK Hook | Concept Map | Timed Brain Dump | Post-Learn Brain Dump,Top-down first-exposure chain with tiered exits and explicit opening order: MICRO-CALIBRATE -> TEACH -> FULL CALIBRATE. TEACH closes with a learner-usable anchor artifact before any mnemonic slot. Teach-back is removed from the default live path.,prime_artifacts_present | micro_calibrate_before_teach | teach_chunk_delivered_when_present | teach_close_artifact_ready | full_calibrate_after_teach | mnemonic_after_teach_close_artifact_only | retrieve_after_reference_only | tier_exit_allowed,if_micro_calibrate_unstable_reduce_initial_chunk | if_full_calibrate_poor_route_to_targeted_encode | substitute_by_error_type_mapping,strict-certification,True,,sop/library/chains/C-TRY-002.yaml
C-VE-001,VE,Visual Encoding,001,,Chain / Visual Encoding,Visual Encoding,draft,True,8,classification | mechanism | computation | definition | procedure | spatial | recognition | synthesis,True,high,40,PRIME -> CALIBRATE -> ENCODE -> ENCODE -> REFERENCE -> REFERENCE -> RETRIEVE -> OVERLEARN,M-PRE-010 | M-PRE-001 | M-ENC-009 | M-ENC-010 | M-REF-003 | M-REF-004 | M-RET-001 | M-OVR-001,Learning Objectives Primer | Brain Dump | Concept Map | Comparison Table | One-Page Anchor | Question Bank Seed | Timed Brain Dump | Exit Ticket,"Visualization-first encoding for topics with confusable concepts. Short PRIME orientation, quick calibrate pulse, then build visual representations before retrieval.",prime_artifacts_present | calibrate_attempt_completed | reference_targets_ready | retrieve_after_reference_only | exit_requires_rsr_or_remediation,inject_reference_targets_before_retrieve | substitute_by_error_type_mapping | re_run_retrieval_gate_after_insertion,baseline-certification,True,,sop/library/chains/C-VE-001.yaml
